state,direction,id,wiki_name,official_name,framing
LOGIN,SERVERBOUND,0x02,Login Plugin Response,custom_query_answer,normal
LOGIN,SERVERBOUND,0x03,Login Acknowledged,login_acknowledged,normal
LOGIN,SERVERBOUND,0x04,Cookie Response,cookie_response,normal
PLAY,CLIENTBOUND,0x00,Bundle Delimiter,bundle_delimiter,normal
PLAY,CLIENTBOUND,0x01,Spawn Entity,add_entity,normal
PLAY,CLIENTBOUND,0x02,Entity Animation,animate,normal
PLAY,CLIENTBOUND,0x03,Award Statistics,award_stats,normal
PLAY,CLIENTBOUND,0x04,Acknowledge Block Change,block_changed_ack,normal
PLAY,CLIENTBOUND,0x05,Set Block Destroy Stage,block_destruction,normal
PLAY,CLIENTBOUND,0x06,Block Entity Data,block_entity_data,normal
PLAY,CLIENTBOUND,0x07,Block Action,block_event,normal
PLAY,CLIENTBOUND,0x08,Block Update,block_update,normal
PLAY,CLIENTBOUND,0x09,Boss Bar,boss_event,normal
PLAY,CLIENTBOUND,0x0A,Change Difficulty,change_difficulty,normal
PLAY,CLIENTBOUND,0x0B,Chunk Batch Finished,chunk_batch_finished,normal
PLAY,CLIENTBOUND,0x0C,Chunk Batch Start,chunk_batch_start,normal
PLAY,CLIENTBOUND,0x0D,Chunk Biomes,chunks_biomes,normal
PLAY,CLIENTBOUND,0x0E,Clear Titles,clear_titles,normal
PLAY,CLIENTBOUND,0x0F,Command Suggestions Response,command_suggestions,normal
PLAY,CLIENTBOUND,0x10,Commands,commands,normal
PLAY,CLIENTBOUND,0x11,Close Container,container_close,normal
PLAY,CLIENTBOUND,0x12,Set Container Content,container_set_content,normal
PLAY,CLIENTBOUND,0x13,Set Container Property,container_set_data,normal
PLAY,CLIENTBOUND,0x14,Set Container Slot,container_set_slot,normal
PLAY,CLIENTBOUND,0x15,Cookie Request,cookie_request,normal
PLAY,CLIENTBOUND,0x16,Set Cooldown,cooldown,normal
PLAY,CLIENTBOUND,0x17,Chat Suggestions,custom_chat_completions,normal
PLAY,CLIENTBOUND,0x18,Plugin Message (clientbound),custom_payload,normal
PLAY,CLIENTBOUND,0x19,Damage Event,damage_event,normal
PLAY,CLIENTBOUND,0x1A,Debug Block Value,debug_block_value,normal
PLAY,CLIENTBOUND,0x1B,Debug Chunk Value,debug_chunk_value,normal
PLAY,CLIENTBOUND,0x1C,Debug Entity Value,debug_entity_value,normal
PLAY,CLIENTBOUND,0x1D,Debug Event,debug_event,normal
PLAY,CLIENTBOUND,0x1E,Debug Sample,debug_sample,normal
PLAY,CLIENTBOUND,0x1F,Delete Message,delete_chat,normal
PLAY,CLIENTBOUND,0x20,Disconnect,disconnect,normal
PLAY,CLIENTBOUND,0x21,Disguised Chat Message,disguised_chat,normal
PLAY,CLIENTBOUND,0x22,Entity Event,entity_event,normal
PLAY,CLIENTBOUND,0x23,Teleport Entity,entity_position_sync,normal
PLAY,CLIENTBOUND,0x24,Explosion,explode,normal
PLAY,CLIENTBOUND,0x25,Unload Chunk,forget_level_chunk,normal
PLAY,CLIENTBOUND,0x26,Game Event,game_event,normal
PLAY,CLIENTBOUND,0x27,Game Rule Values,game_rule_values,normal
PLAY,CLIENTBOUND,0x28,Game Test Highlight Position,game_test_highlight_pos,normal
PLAY,CLIENTBOUND,0x29,Open Horse Screen,mount_screen_open,normal
PLAY,CLIENTBOUND,0x2A,Hurt Animation,hurt_animation,normal
PLAY,CLIENTBOUND,0x2B,Initialize World Border,initialize_border,normal
PLAY,CLIENTBOUND,0x2C,Keep Alive (clientbound),keep_alive,normal
PLAY,CLIENTBOUND,0x2D,Chunk Data and Update Light,level_chunk_with_light,normal
PLAY,CLIENTBOUND,0x2E,World Event,level_event,normal
PLAY,CLIENTBOUND,0x2F,Particle,level_particles,normal
PLAY,CLIENTBOUND,0x30,Update Light,light_update,normal
PLAY,CLIENTBOUND,0x31,Login (play),login,normal
PLAY,CLIENTBOUND,0x32,Low Disk Space Warning,low_disk_space_warning,normal
PLAY,CLIENTBOUND,0x33,Map Data,map_item_data,normal
PLAY,CLIENTBOUND,0x34,Merchant Offers,merchant_offers,normal
PLAY,CLIENTBOUND,0x35,Update Entity Position,move_entity_pos,normal
PLAY,CLIENTBOUND,0x36,Update Entity Position and Rotation,move_entity_pos_rot,normal
PLAY,CLIENTBOUND,0x37,Move Minecart Along Track,move_minecart_along_track,normal
PLAY,CLIENTBOUND,0x38,Update Entity Rotation,move_entity_rot,normal
PLAY,CLIENTBOUND,0x39,Move Vehicle (clientbound),move_vehicle,normal
PLAY,CLIENTBOUND,0x3A,Open Book,open_book,normal
PLAY,CLIENTBOUND,0x3B,Open Screen,open_screen,normal
PLAY,CLIENTBOUND,0x3C,Open Sign Editor,open_sign_editor,normal
PLAY,CLIENTBOUND,0x3D,Ping,ping,normal
PLAY,CLIENTBOUND,0x3E,Ping Response,pong_response,normal
PLAY,CLIENTBOUND,0x3F,Place Ghost Recipe,place_ghost_recipe,normal
PLAY,CLIENTBOUND,0x40,Player Abilities (clientbound),player_abilities,normal
PLAY,CLIENTBOUND,0x41,Player Chat Message,player_chat,normal
PLAY,CLIENTBOUND,0x42,End Combat,player_combat_end,normal
PLAY,CLIENTBOUND,0x43,Enter Combat,player_combat_enter,normal
PLAY,CLIENTBOUND,0x44,Combat Death,player_combat_kill,normal
PLAY,CLIENTBOUND,0x45,Player Info Remove,player_info_remove,normal
PLAY,CLIENTBOUND,0x46,Player Info Update,player_info_update,normal
PLAY,CLIENTBOUND,0x47,Look At,player_look_at,normal
PLAY,CLIENTBOUND,0x48,Synchronize Player Position,player_position,normal
PLAY,CLIENTBOUND,0x49,Player Rotation,player_rotation,normal
PLAY,CLIENTBOUND,0x4A,Recipe Book Add,recipe_book_add,normal
PLAY,CLIENTBOUND,0x4B,Recipe Book Remove,recipe_book_remove,normal
PLAY,CLIENTBOUND,0x4C,Recipe Book Settings,recipe_book_settings,normal
PLAY,CLIENTBOUND,0x4D,Remove Entities,remove_entities,normal
PLAY,CLIENTBOUND,0x4E,Remove Entity Effect,remove_mob_effect,normal
PLAY,CLIENTBOUND,0x4F,Reset Score,reset_score,normal
PLAY,CLIENTBOUND,0x50,Remove Resource Pack,resource_pack_pop,normal
PLAY,CLIENTBOUND,0x51,Add Resource Pack,resource_pack_push,normal
PLAY,CLIENTBOUND,0x52,Respawn,respawn,normal
PLAY,CLIENTBOUND,0x53,Set Head Rotation,rotate_head,normal
PLAY,CLIENTBOUND,0x54,Update Section Blocks,section_blocks_update,normal
PLAY,CLIENTBOUND,0x55,Select Advancements Tab,select_advancements_tab,normal
PLAY,CLIENTBOUND,0x56,Server Data,server_data,normal
PLAY,CLIENTBOUND,0x57,Set Action Bar Text,set_action_bar_text,normal
PLAY,CLIENTBOUND,0x58,Set Border Center,set_border_center,normal
PLAY,CLIENTBOUND,0x59,Set Border Lerp Size,set_border_lerp_size,normal
PLAY,CLIENTBOUND,0x5A,Set Border Size,set_border_size,normal
PLAY,CLIENTBOUND,0x5B,Set Border Warning Delay,set_border_warning_delay,normal
PLAY,CLIENTBOUND,0x5C,Set Border Warning Distance,set_border_warning_distance,normal
PLAY,CLIENTBOUND,0x5D,Set Camera,set_camera,normal
PLAY,CLIENTBOUND,0x5E,Set Center Chunk,set_chunk_cache_center,normal
PLAY,CLIENTBOUND,0x5F,Set Render Distance,set_chunk_cache_radius,normal
PLAY,CLIENTBOUND,0x60,Set Cursor Item,set_cursor_item,normal
PLAY,CLIENTBOUND,0x61,Set Default Spawn Position,set_default_spawn_position,normal
PLAY,CLIENTBOUND,0x62,Display Objective,set_display_objective,normal
PLAY,CLIENTBOUND,0x63,Set Entity Metadata,set_entity_data,normal
PLAY,CLIENTBOUND,0x64,Link Entities,set_entity_link,normal
PLAY,CLIENTBOUND,0x65,Set Entity Velocity,set_entity_motion,normal
PLAY,CLIENTBOUND,0x66,Set Equipment,set_equipment,normal
PLAY,CLIENTBOUND,0x67,Set Experience,set_experience,normal
PLAY,CLIENTBOUND,0x68,Set Health,set_health,normal
PLAY,CLIENTBOUND,0x69,Set Held Item (clientbound),set_held_slot,normal
PLAY,CLIENTBOUND,0x6A,Update Objectives,set_objective,normal
PLAY,CLIENTBOUND,0x6B,Set Passengers,set_passengers,normal
PLAY,CLIENTBOUND,0x6C,Set Player Inventory Slot,set_player_inventory,normal
PLAY,CLIENTBOUND,0x6D,Update Teams,set_player_team,normal
PLAY,CLIENTBOUND,0x6E,Update Score,set_score,normal
PLAY,CLIENTBOUND,0x6F,Set Simulation Distance,set_simulation_distance,normal
PLAY,CLIENTBOUND,0x70,Set Subtitle Text,set_subtitle_text,normal
PLAY,CLIENTBOUND,0x71,Update Time,set_time,normal
PLAY,CLIENTBOUND,0x72,Set Title Text,set_title_text,normal
PLAY,CLIENTBOUND,0x73,Set Title Animation Times,set_titles_animation,normal
PLAY,CLIENTBOUND,0x74,Entity Sound Effect,sound_entity,normal
PLAY,CLIENTBOUND,0x75,Sound Effect,sound,normal
PLAY,CLIENTBOUND,0x76,Start Configuration,start_configuration,normal
PLAY,CLIENTBOUND,0x77,Stop Sound,stop_sound,normal
PLAY,CLIENTBOUND,0x78,Store Cookie,store_cookie,normal
PLAY,CLIENTBOUND,0x79,System Chat Message,system_chat,normal
PLAY,CLIENTBOUND,0x7A,Set Tab List Header And Footer,tab_list,normal
PLAY,CLIENTBOUND,0x7B,Tag Query Response,tag_query,normal
PLAY,CLIENTBOUND,0x7C,Pickup Item,take_item_entity,normal
PLAY,CLIENTBOUND,0x7D,Synchronize Vehicle Position,teleport_entity,normal
PLAY,CLIENTBOUND,0x7E,Test Instance Block Status,test_instance_block_status,normal
PLAY,CLIENTBOUND,0x7F,Set Ticking State,ticking_state,normal
PLAY,CLIENTBOUND,0x80,Step Tick,ticking_step,normal
PLAY,CLIENTBOUND,0x81,Transfer,transfer,normal
PLAY,CLIENTBOUND,0x82,Update Advancements,update_advancements,normal
PLAY,CLIENTBOUND,0x83,Update Attributes,update_attributes,normal
PLAY,CLIENTBOUND,0x84,Entity Effect,update_mob_effect,normal
PLAY,CLIENTBOUND,0x85,Update Recipes,update_recipes,normal
PLAY,CLIENTBOUND,0x86,Update Tags,update_tags,normal
PLAY,CLIENTBOUND,0x87,Projectile Power,projectile_power,normal
PLAY,CLIENTBOUND,0x88,Custom Report Details,custom_report_details,normal
PLAY,CLIENTBOUND,0x89,Server Links,server_links,normal
PLAY,CLIENTBOUND,0x8A,Waypoint,waypoint,normal
PLAY,CLIENTBOUND,0x8B,Clear Dialog,clear_dialog,normal
PLAY,CLIENTBOUND,0x8C,Show Dialog (play),show_dialog,normal
PLAY,SERVERBOUND,0x00,Confirm Teleportation,accept_teleportation,normal
PLAY,SERVERBOUND,0x01,Attack,attack,normal
PLAY,SERVERBOUND,0x02,Query Block Entity Tag,block_entity_tag_query,normal
PLAY,SERVERBOUND,0x03,Bundle Item Selected,bundle_item_selected,normal
PLAY,SERVERBOUND,0x04,Change Difficulty,change_difficulty,normal
PLAY,SERVERBOUND,0x05,Change Game Mode,change_game_mode,normal
PLAY,SERVERBOUND,0x06,Acknowledge Message,chat_ack,normal
PLAY,SERVERBOUND,0x07,Chat Command,chat_command,normal
PLAY,SERVERBOUND,0x08,Signed Chat Command,chat_command_signed,normal
PLAY,SERVERBOUND,0x09,Chat Message,chat,normal
PLAY,SERVERBOUND,0x0A,Player Session,chat_session_update,normal
PLAY,SERVERBOUND,0x0B,Chunk Batch Received,chunk_batch_received,normal
PLAY,SERVERBOUND,0x0C,Client Status,client_command,normal
PLAY,SERVERBOUND,0x0D,Client Tick End,client_tick_end,normal
PLAY,SERVERBOUND,0x0E,Client Information,client_information,normal
PLAY,SERVERBOUND,0x0F,Command Suggestions Request,command_suggestion,normal
PLAY,SERVERBOUND,0x10,Acknowledge Configuration,configuration_acknowledged,normal
PLAY,SERVERBOUND,0x11,Click Container Button,container_button_click,normal
PLAY,SERVERBOUND,0x12,Click Container,container_click,normal
PLAY,SERVERBOUND,0x13,Close Container,container_close,normal
PLAY,SERVERBOUND,0x14,Change Container Slot State,container_slot_state_changed,normal
PLAY,SERVERBOUND,0x15,Cookie Response,cookie_response,normal
PLAY,SERVERBOUND,0x16,Plugin Message (serverbound),custom_payload,normal
PLAY,SERVERBOUND,0x17,Debug Subscription Request,debug_subscription_request,normal
PLAY,SERVERBOUND,0x18,Edit Book,edit_book,normal
PLAY,SERVERBOUND,0x19,Query Entity Tag,entity_tag_query,normal
PLAY,SERVERBOUND,0x1A,Interact,interact,normal
PLAY,SERVERBOUND,0x1B,Jigsaw Generate,jigsaw_generate,normal
PLAY,SERVERBOUND,0x1C,Keep Alive (serverbound),keep_alive,normal
PLAY,SERVERBOUND,0x1D,Lock Difficulty,lock_difficulty,normal
PLAY,SERVERBOUND,0x1E,Set Player Position,move_player_pos,normal
PLAY,SERVERBOUND,0x1F,Set Player Position and Rotation,move_player_pos_rot,normal
PLAY,SERVERBOUND,0x20,Set Player Rotation,move_player_rot,normal
PLAY,SERVERBOUND,0x21,Set Player Movement Flags,move_player_status_only,normal
PLAY,SERVERBOUND,0x22,Move Vehicle (serverbound),move_vehicle,normal
PLAY,SERVERBOUND,0x23,Paddle Boat,paddle_boat,normal
PLAY,SERVERBOUND,0x24,Pick Item From Block,pick_item_from_block,normal
PLAY,SERVERBOUND,0x25,Pick Item From Entity,pick_item_from_entity,normal
PLAY,SERVERBOUND,0x26,Ping Request,ping_request,normal
PLAY,SERVERBOUND,0x27,Place Recipe,place_recipe,normal
PLAY,SERVERBOUND,0x28,Player Abilities (serverbound),player_abilities,normal
PLAY,SERVERBOUND,0x29,Player Action,player_action,normal
PLAY,SERVERBOUND,0x2A,Player Command,player_command,normal
PLAY,SERVERBOUND,0x2B,Player Input,player_input,normal
PLAY,SERVERBOUND,0x2C,Player Loaded,player_loaded,normal
PLAY,SERVERBOUND,0x2D,Pong,pong,normal
PLAY,SERVERBOUND,0x2E,Change Recipe Book Settings,recipe_book_change_settings,normal
PLAY,SERVERBOUND,0x2F,Set Seen Recipe,recipe_book_seen_recipe,normal
PLAY,SERVERBOUND,0x30,Rename Item,rename_item,normal
PLAY,SERVERBOUND,0x31,Resource Pack Response,resource_pack,normal
PLAY,SERVERBOUND,0x32,Seen Advancements,seen_advancements,normal
PLAY,SERVERBOUND,0x33,Select Trade,select_trade,normal
PLAY,SERVERBOUND,0x34,Set Beacon Effect,set_beacon,normal
PLAY,SERVERBOUND,0x35,Set Held Item (serverbound),set_carried_item,normal
PLAY,SERVERBOUND,0x36,Program Command Block,set_command_block,normal
PLAY,SERVERBOUND,0x37,Program Command Block Minecart,set_command_minecart,normal
PLAY,SERVERBOUND,0x38,Set Creative Mode Slot,set_creative_mode_slot,normal
PLAY,SERVERBOUND,0x39,Set Game Rules,set_game_rule,normal
PLAY,SERVERBOUND,0x3A,Program Jigsaw Block,set_jigsaw_block,normal
PLAY,SERVERBOUND,0x3B,Program Structure Block,set_structure_block,normal
PLAY,SERVERBOUND,0x3C,Set Test Block,set_test_block,normal
PLAY,SERVERBOUND,0x3D,Update Sign,sign_update,normal
PLAY,SERVERBOUND,0x3E,Spectator Action,spectator_action,normal
PLAY,SERVERBOUND,0x3F,Swing Arm,swing,normal
PLAY,SERVERBOUND,0x40,Teleport To Entity,teleport_to_entity,normal
PLAY,SERVERBOUND,0x41,Test Instance Block Action,test_instance_block_action,normal
PLAY,SERVERBOUND,0x42,Use Item On,use_item_on,normal
PLAY,SERVERBOUND,0x43,Use Item,use_item,normal
PLAY,SERVERBOUND,0x44,Custom Click Action,custom_click_action,normal
STATUS,CLIENTBOUND,0x00,Status Response,status_response,normal
STATUS,CLIENTBOUND,0x01,Pong Response (status),pong_response,normal
STATUS,SERVERBOUND,0x00,Status Request,status_request,normal
STATUS,SERVERBOUND,0x01,Ping Request (status),ping_request,normal
